course_name,Course_link
"Global Operations and Service Management MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/global-operations-and-service-management-msc/september-2022
"Governance and International Politics Double MA -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/governance-and-international-politics-double-ma/september-2022
"Haematology and Transfusion Science - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/haematology-and-transfusion-science-standalone-module/september-2022
"Health Psychology MSc (on-campus) -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/health-psychology-msc-campus/september-2022
"Health Psychology MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/health-psychology-msc-online/september-2022
"Healthcare Science (Audiology) BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/healthcare-science-audiology-bsc/september-2022
"Healthcare Science (Audiology) BSc Direct entry to Final Year 2022 -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/healthcare-science-audiology-bsc-direct-entry-to-final-year-2021/september-2021
"Healthcare Science Practitioner: Audiology Degree Apprenticeship -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/healthcare-science-practitioner-audiology-degree-apprenticeship/september-2022
"Hearing Therapy Counselling and Communications Skills -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/hearing-therapy-counselling-and-communications-skills/october-2022
"Hearing Therapy PgCert/PgDip -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/hearing-therapy-pgcert-pgdip
"History and English Literature BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/history-and-english-literature-bsc/september-2022
"History and International Relations BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/history-and-international-relations-bsc/september-2021
"History and Politics BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/history-and-politics-bsc/september-2021
"Human Physiology - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/human-physiology-standalone-module/september-2022
"Human Resource Management MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/human-resource-management-msc/september-2022
"Human Resource Management MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/human-resource-management-msc/january-2023
"Human Resources and Business Management BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/human-resources-and-business-management-bsc/september-2022
"Immunology - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/immunology-standalone-module/september-2022
"In Work Skills Training -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/work-skills-training/november-2021
"Independent Prescribing for Optometrists -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/independent-prescribing-optometrists/october-2022
"Information Systems and Business Analysis MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/information-systems-and-business-analysis-msc/september-2022
"Information Systems and Business Analysis MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/information-systems-and-business-analysis-msc/january-2023
"International Accounting and Finance MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/international-accounting-and-finance-msc/september-2022
"International Accounting and Finance MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/international-accounting-and-finance-msc/january-2023
"International Business and Economics BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/international-business-and-economics-bsc/september-2022
"International Business and Management BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/international-business-and-management-bsc/september-2022
"International Business MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/international-business-msc/september-2022
"International Business MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/international-business-msc/january-2023
"International Commercial Law LLM -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/international-commercial-law-llm/september-2022
"International Relations and Global Governance MA -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/international-relations-and-global-governance-ma/september-2022
"International Relations and Global Governance MA -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/international-relations-and-global-governance-ma/january-2023
"International Relations and Social Policy BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/international-relations-and-social-policy-bsc/september-2022
"International Relations and Sociology BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/international-relations-and-sociology-bsc/september-2022
"Investigate Ophthalmic Science - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/investigate-ophthalmic-science-standalone-module/march-2022
"Investment Analysis MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/investment-analysis-msc/september-2022
"Investment Analysis MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/investment-analysis-msc/january-2023
"Law LLB -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/law-llb/september-2022
"Leadership and Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/leadership-and-analytics-msc/september-2022
"Leadership and Entrepreneurship MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/leadership-and-entrepreneurship-msc/september-2022
"Logistics with Supply Chain Management BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/logistics-supply-chain-management-bsc/september-2022
"Management and Analytics MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/management-and-analytics-msc-online-
"Management and Finance MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/management-and-finance-msc-online-
"Management and Innovation MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/management-and-innovation-msc-online-
"Management in a Digital Economy MSc (Online) -
Online courses",https://www.aston.ac.uk/study/courses/management-in-a-digital-economy-msc-online-
"Manufacturing Engineer Degree Apprenticeship -
Degree apprenticeships",https://www.aston.ac.uk/study/courses/manufacturing-engineer-degree-apprenticeship/october-2022
"Marketing and Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/marketing-and-analytics-msc/january-2023
"Marketing and Analytics MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/marketing-and-analytics-msc/september-2022
"Marketing and Entrepreneurship MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/marketing-and-entrepreneurship-msc/september-2022
"Marketing and Leadership MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/marketing-and-leadership-msc/september-2022
"Marketing and Strategy MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/marketing-and-strategy-msc/september-2022
"Marketing BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/marketing-bsc/september-2022
"Mathematics BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/mathematics-bsc/september-2022
"Mathematics with Economics BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/mathematics-economics-bsc/september-2022
"MBA (Full-time) -
MBA",https://www.aston.ac.uk/study/courses/mba-full-time/september-2022
"MBA (Full-time) -
MBA",https://www.aston.ac.uk/study/courses/mba-full-time/january-2023
"MBA (Online) -
Online courses",https://www.aston.ac.uk/study/courses/mba-online-/march-2021
"Mechanical Engineering BEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/mechanical-engineering-beng/september-2022
"Mechanical Engineering MEng -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/mechanical-engineering-meng/september-2022
"Mechanical Engineering MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/mechanical-engineering-msc/september-2022
"Medical Biochemistry - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/medical-biochemistry-standalone-module/september-2022
"Medical Bioscience (Singapore) BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/medical-bioscience-singapore-bsc/september-2021
"Medical Retina – Standalone module -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/medical-retina-standalone-module/october-2022
"Medicine MBChB - September 2022 -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/medicine-mbchb-september-2022/september-2022
"Medicine MBChB - September 2023 -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/medicine-mbchb-september-2023/september-2023
"Microbiology - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/microbiology-standalone-module/september-2022
"Microbiology and Genetics -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/microbiology-and-genetics/september-2022
"Myopia - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/myopia-standalone-module/october-2022
"Nerve Conduction and Evoked Potentials - standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/nerve-conduction-and-evoked-potentials-standalone-module/september-2022
"Neurophysiology PgCert -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/neurophysiology-pgcert/september-2022
"Neuroscience BSc -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/neuroscience-bsc/september-2022
"Nutrition and the Eye - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/nutrition-and-eye-standalone-module/march-2022
"Optometry / Ophthalmic Science MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/optometry-ophthalmic-science-msc/october-2022
"Optometry BSc / MOptom -
Undergraduate degrees",https://www.aston.ac.uk/study/courses/optometry-bsc-moptom/september-2022
"Paediatric Eye Care - Standalone module -
Professional courses/CPD",https://www.aston.ac.uk/study/courses/paediatric-eye-care-standalone-module/october-2022
"Pharmaceutical Sciences MSc -
Postgraduate MA/MSc courses",https://www.aston.ac.uk/study/courses/pharmaceutical-sciences-msc/september-2022
